Country,Year,Rate
Australia,2000,11.8
Australia,2005,10.1
Australia,2010,10.5
Australia,2015,11.9
Australia,2020,11.1
Canada,2000,10.7
Canada,2005,10.6
Canada,2010,10.3
Canada,2015,11.3
Canada,2020,10.3
France,2000,15.9
France,2005,14.9
France,2010,14
France,2015,11.6
France,2020,9.8
Germany,2000,11.1
Germany,2005,9.9
Germany,2010,9.4
Germany,2015,9
Germany,2020,8.3
India,2000,19
India,2005,16.9
India,2010,15.5
India,2015,12.2
India,2020,12.7
Japan,2000,18.1
Japan,2005,19
Japan,2010,19.1
Japan,2015,15.1
Japan,2020,12.4
UK,2000,7.7
UK,2005,6.9
UK,2010,7
UK,2015,7.9
UK,2020,7
USA,2000,10
USA,2005,10.6
USA,2010,11.6
USA,2015,12.7
USA,2020,14.3
